BlockGroup,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,Tract,MOS_bg
261635439001,487,601,219,132,193,57,26163543900,2.6861749520222253
261635440001,1250,1985,694,473,568,250,26163544000,8.899572508593845
261635441001,381,639,176,174,141,148,26163544100,2.87994688898744
261635441002,678,981,454,256,209,62,26163544100,4.424482656093059
261635442001,406,525,206,135,118,66,26163544200,2.3643576550309384
261635442002,697,963,234,176,248,305,26163544200,4.289039445089418
261635443001,582,950,344,248,237,121,26163544300,4.275821239623732
261635443002,738,845,217,242,259,127,26163544300,3.80390712120362
261635448001,386,557,184,156,146,71,26163544800,2.5107672549741333
261635448002,500,732,239,216,188,89,26163544800,3.3057445517412365
261635451001,276,383,121,88,92,82,26163545100,1.7173146113549667
261635451002,254,370,125,108,89,48,26163545100,1.6713329827768755
261635452001,309,483,138,148,100,97,26163545200,2.18656710648746
261635452002,337,584,199,167,104,114,26163545200,2.6412910055598817
261635452003,228,303,123,78,58,44,26163545200,1.3661862370618016
261635452004,360,530,160,144,134,92,26163545200,2.386776538747973
261635214002,518,637,320,141,115,61,26163521400,2.863778265117476
261635211002,336,592,173,152,142,125,26163521100,2.662187440584316
261635214001,460,574,284,148,77,65,26163521400,2.594941404389839
261635215001,269,396,178,82,95,41,26163521500,1.7732197652340573
261635215002,436,635,235,142,159,99,26163521500,2.845803724142576
261635218001,901,1179,282,207,249,441,26163521800,5.25398570681209
261635219001,430,669,312,149,110,98,26163521900,3.008566515819722
261635219003,1,143,26,21,71,25,26163521900,0.6291358814109931
261635219004,616,969,542,162,156,109,26163521900,4.334004500036653
261635219005,483,628,245,104,151,128,26163521900,2.796854534333683
261635220001,584,807,319,188,208,92,26163522000,3.620621850965834
261635220002,331,534,144,112,164,114,26163522000,2.38281534516118
261635223001,628,674,187,115,258,114,26163522300,2.986985751455255
261635223002,375,276,63,76,89,48,26163522300,1.2399273336388972
261635223003,2,32,7,1,21,3,26163522300,0.13820482812584547
261635224001,519,614,262,141,168,43,26163522400,2.7531501430188916
261635225001,1030,687,100,104,259,224,26163522500,3.0343536890267653
261635225002,324,494,163,143,124,64,26163522500,2.2299523274648916
261635228001,326,504,168,152,122,62,26163522800,2.278968676812989
261635228002,322,409,125,90,126,68,26163522800,1.82781771105865
261635231001,575,948,411,266,194,77,26163523100,4.285246151859246
261635232001,347,712,308,179,154,71,26163523200,3.2064558623291846
261635232002,422,804,300,225,162,117,26163523200,3.6322677669229853
261635232003,388,736,272,254,149,61,26163523200,3.3498739129758666
261635233001,372,639,236,218,124,61,26163523300,2.9077996866925435
261635233002,355,738,288,206,161,83,26163523300,3.3326699204069223
261635233003,330,646,277,165,136,68,26163523300,2.910986691915509
